STORE|종합강의동|카페 Dictionary|image/cafe5/cafe5.jpg
PRODUCT|카라멜 프라페|4000|image/cafe5/카라멜 프라페.jpg
PRODUCT|그린티 프라페|4000|image/cafe5/그린티 프라페.jpg
PRODUCT|민트초코 프라페|4200|image/cafe5/민트초코 프라페.jpg
PRODUCT|자바칩 프라페|4200|image/cafe5/자바칩 프라페.jpg
PRODUCT|쿠키앤크림 프라페|4400|image/cafe5/쿠키앤크림 프라페.jpg
PRODUCT|요거트 프라페|4000|image/cafe5/요거트 프라페.jpg
PRODUCT|딸기 요거트 프라페|4200|image/cafe5/딸기 요거트 프라페.jpg
PRODUCT|초코바나나 프라페|4200|image/cafe5/초코바나나 프라페.jpg
PRODUCT|샷추가|500|image/cafe5/샷추가.jpg
PRODUCT|버블 추가|500|image/cafe5/버블추가.jpg
PRODUCT|휘핑크림 추가|500|image/cafe5/휘핑크림 추가.jpg

CATEGORY|추가 메뉴
PRODUCT|샷추가|500|image/cafe5/샷추가.jpg
PRODUCT|버블 추가|500|image/cafe5/버블추가.jpg
PRODUCT|휘핑크림 추가|500|image/cafe5/샷추가.jpg
PRODUCT|초코 드리즐 추가|500|image/cafe5/휘핑크림 추가.jpg
PRODUCT|카라멜 드리즐 추가|500|image/cafe5/카라멜 드리즐 추가.jpg
PRODUCT|헤이즐넛 시럽 추가|500|image/cafe5/헤이즐넛 시럽 추가.jpg
PRODUCT|음료에 아이스크림 추가|1500|image/cafe5/음료에 아이스크림 추가.jpg
